date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:58	88/88	---MCZ	200	added ('OK')	text/plain	date:Sat,%2024%20Feb%202024%2018:12:55%20GMT	https://better-barefoot.business.site/robots.txt		(from )
19:12:58	214127/214127	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202024%2018:12:55%20GMT	https://better-barefoot.business.site/	C:/Users/lchki/OneDrive/Bureau/business.site/01/better%20barfoot/better-barefoot.business.site/index.html	(from )
19:12:58	1658/1658	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:12:56%20GMT	https://better-barefoot.business.site/about	C:/Users/lchki/OneDrive/Bureau/business.site/01/better%20barfoot/better-barefoot.business.site/about.0.delayed	(from https://better-barefoot.business.site/)
19:12:58	1658/1658	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:12:56%20GMT	https://better-barefoot.business.site/website/demo/	C:/Users/lchki/OneDrive/Bureau/business.site/01/better%20barfoot/better-barefoot.business.site/website/demo/index.html	(from https://better-barefoot.business.site/)
19:12:59	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/lchki/OneDrive/Bureau/business.site/01/better%20barfoot/www.google-analytics.com/analytics.js	(from https://better-barefoot.business.site/)
19:12:59	40102/40102	---M--	200	added ('OK')	text/javascript	date:Sat,%2024%20Feb%202024%2016:59:29%20GMT	https://www.gstatic.com/feedback/api.js	C:/Users/lchki/OneDrive/Bureau/business.site/01/better%20barfoot/www.gstatic.com/feedback/api.js	(from https://better-barefoot.business.site/)
19:12:59	18372/18372	---M--	200	added ('OK')	text/javascript	etag:%220ea4e6afdc3ec6cc%22	https://apis.google.com/js/api.js	C:/Users/lchki/OneDrive/Bureau/business.site/01/better%20barfoot/apis.google.com/js/api.js	(from https://better-barefoot.business.site/)
19:13:00	1658/1658	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:12:57%20GMT	https://better-barefoot.business.site/+/	C:/Users/lchki/OneDrive/Bureau/business.site/01/better%20barfoot/better-barefoot.business.site/+/index.html	(from https://better-barefoot.business.site/)
19:13:00	1658/1658	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:12:57%20GMT	https://better-barefoot.business.site/Edg/	C:/Users/lchki/OneDrive/Bureau/business.site/01/better%20barfoot/better-barefoot.business.site/Edg/index.html	(from https://better-barefoot.business.site/)
19:13:00	1658/1658	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:12:57%20GMT	https://better-barefoot.business.site/https:	C:/Users/lchki/OneDrive/Bureau/business.site/01/better%20barfoot/better-barefoot.business.site/https_.4.delayed	(from https://better-barefoot.business.site/)
19:13:00	110585/110585	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202023%2022:48:00%20GMT	http://www.gstatic.com/bfe/apps/website/css/LTR_222161133.css	C:/Users/lchki/OneDrive/Bureau/business.site/01/better%20barfoot/www.gstatic.com/bfe/apps/website/css/LTR_222161133.css	(from https://better-barefoot.business.site/)
